FID,ECB,Y,Ylog,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15
166,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
169,0,0,0,10,11,0,1,10,1,1,1,1,6,16,0,3,2,1
170,0,0,0,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0
171,0,0,0,7,16,0,4,6,0,0,0,0,7,1,12,8,2,0
172,0,0,0,12,59,0,5,15,4,3,0,0,9,15,8,14,4,0
173,0,0,0,8,36,1,2,10,0,2,1,0,9,9,7,16,9,0
174,0,0,0,26,25,0,6,27,6,2,0,0,12,20,7,5,21,1
175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
177,0,0,0,2,6,0,0,1,0,0,1,0,1,3,0,1,0,0
178,0,0,0,8,20,1,1,15,1,0,2,1,7,15,2,10,0,0
179,0,0,0,4,9,0,0,4,2,2,0,0,2,5,1,5,0,0
180,0,0,0,8,25,0,0,8,5,0,2,3,4,7,1,10,0,1
181,0,0,0,10,17,0,1,11,2,0,2,2,7,7,8,10,0,2
182,0,0,0,11,20,0,4,15,6,2,2,2,3,13,7,2,0,3
183,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0,0,0,4,18,0,0,6,1,0,0,0,7,4,1,4,0,0
185,0,0,0,13,44,0,1,19,4,1,0,0,4,7,9,8,0,1
186,0,0,0,10,15,0,3,11,5,2,1,0,5,4,2,3,0,0
187,0,0,0,8,22,0,1,8,5,2,0,1,12,6,0,16,0,1
188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,0,0,0,20,34,1,0,45,3,7,3,0,13,27,21,30,0,8
191,0,0,0,20,52,1,1,28,2,2,1,1,30,22,27,24,0,5
192,0,0,0,37,2,0,0,27,3,5,1,0,10,46,20,4,1,6
193,0,0,0,19,29,0,0,38,5,5,0,1,17,35,22,11,2,1
194,0,0,0,37,12,0,2,37,23,4,2,1,32,36,8,25,0,10
195,0,0,0,9,19,0,0,26,2,1,0,0,10,15,29,65,0,1
196,0,0,0,6,35,0,0,9,10,0,0,1,5,17,6,27,0,4
197,0,0,0,8,28,0,0,10,6,0,0,1,1,16,7,17,0,1
198,0,0,0,7,13,0,0,8,5,0,0,0,5,16,22,10,0,5
199,0,0,0,1,6,0,0,3,3,0,0,1,5,2,1,7,0,0
200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,0,1,6,0,1,2,2,0,0,1,3,3,5,14,10,0
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
205,0,0,0,8,9,0,3,8,0,3,0,0,5,5,1,10,2,1
206,0,0,0,10,27,0,3,20,4,0,1,1,23,12,4,11,17,0
207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,0,0,6,6,0,0,5,0,1,1,0,0,0,0,1,0,0
209,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
210,0,0,0,10,16,0,0,14,0,0,1,2,2,12,5,11,0,2
211,0,0,0,6,19,0,1,10,2,0,0,1,1,8,1,11,0,0
212,0,0,0,3,18,0,1,3,4,0,0,1,0,7,0,3,0,1
213,0,0,0,14,17,0,0,11,9,0,4,0,14,6,5,12,0,0
214,0,0,0,11,14,0,1,11,1,0,0,1,4,9,1,7,0,1
215,0,0,0,2,15,0,1,2,1,2,0,0,2,0,1,2,0,0
216,0,0,0,8,33,1,0,8,3,0,2,0,1,10,0,7,0,0
217,0,0,0,14,15,0,3,11,2,0,0,0,1,16,6,7,0,0
218,0,0,0,10,16,0,3,5,2,0,0,0,12,21,5,21,2,1
219,0,0,0,15,12,0,3,11,4,0,0,0,12,14,4,3,0,1
220,0,0,0,14,19,1,2,17,4,5,0,3,28,16,15,8,1,9
221,0,0,0,11,19,0,3,9,1,3,1,0,23,7,9,5,0,1
222,0,0,0,8,35,1,0,13,3,4,0,0,23,6,8,10,0,1
223,0,0,0,18,45,0,0,31,2,2,1,0,31,14,8,5,0,7
224,0,0,0,37,54,1,3,31,15,0,0,0,26,23,9,11,0,0
225,0,0,0,27,41,0,0,21,9,0,1,2,23,37,5,14,0,2
226,0,0,0,32,18,0,2,50,11,3,0,1,32,42,14,18,0,0
227,0,0,0,29,14,0,2,37,8,0,0,2,32,26,22,8,0,2
228,0,0,0,16,21,0,0,31,7,1,0,0,28,22,13,22,0,5
229,0,0,0,15,18,0,0,21,6,0,1,1,11,28,26,61,0,6
230,0,0,0,13,14,1,1,12,3,0,1,0,12,28,75,86,0,2
231,0,0,0,9,11,0,1,9,4,6,1,2,11,6,6,36,1,2
232,0,0,0,12,3,0,1,14,4,2,1,3,5,26,14,13,0,140
233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,0,0,0,0,0,5,1,0,0,0,1,0,2,0,0,1
235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
239,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
240,0,0,0,14,29,1,2,13,0,0,0,1,4,10,2,11,0,0
242,0,0,0,12,28,0,1,11,4,0,0,1,2,9,5,16,0,0
243,0,0,0,17,24,0,1,18,3,0,0,1,2,12,1,2,0,3
244,0,0,0,3,11,0,0,4,0,0,0,0,1,3,0,7,0,0
